stkcd	stknm	year	province	region_name	city	indnm	sub_ind	rd_high	rd_me	innov_qual1	innov_qual2	hr_struct	human_cap	oper_eff	tech_dens	profit	growth_exp	de_involution_index
16	深康佳A	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.010557176	0.075917405	1	1	0.008753226	10.1705	1.5307	0.008704	0.1629	0.538363	0.9671214
16	深康佳A	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.008595007	0.077353019	1	1	0.008647509	10.7362	1.6315	0.022367	0.0145	0.477109	0.9829106
16	深康佳A	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.009082149	0.077465519	1	1	0.01052577	11.5931	1.4587	0.028489	0.0061	0.194948	0.9485456
16	深康佳A	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.013578262	0.087360595	1	1	0.01794842	12.9032	1.0891	0.023843	0.0107	-0.086491	0.9071142
16	深康佳A	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.012894538	0.092683828	1	1	0.023956152	14.5556	1.0943	0.024459	0.0164	-0.024732	0.8975708
16	深康佳A	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.018369518	0.105905051	1	1	0.027216978	14.8091	0.7602	0.029375	-0.0598	-0.397069	0.8289236
16	深康佳A	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	其他电子设备制造	0.027899855	0.104849	1	1	0.050191408	14.4588	0.4835	0.030353	-0.1477	-0.397142	0.823037
21	深科技	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.011195148	0.027085195	1	0	0.007309348	9.6692	1.0036	0.013836	0.0404	-0.05703	0.3044209
21	深科技	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.012441061	0.031628288	1	0	0.009693274	9.9939	0.9995	0.036867	0.0352	0.130278	0.3829976
21	深科技	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.0157413	0.020791212	1	0	0.007346004	8.1518	0.778	0.030645	0.0334	-0.176651	0.2684239
21	深科技	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.017045027	0.020738605	1	0	0.007652212	9.5453	0.7467	0.027853	0.0637	0.131839	0.3255863
21	深科技	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.018821069	0.020061671	1	0	0.009287811	10.3205	0.6774	0.021997	0.0506	0.101623	0.2736576
21	深科技	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.019415597	0.033935506	1	0	0.01525128	14.2889	0.5876	0.021038	0.0427	-0.022433	0.2992695
21	深科技	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	计算机整机制造	0.025378768	0.034858767	1	0	0.016066353	13.4035	0.5169	0.015277	0.0578	-0.115007	0.2622924
45	深纺织A	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.026455357	0.078651685	1	0	0.026217228	12.2138	0.3549	0.009264	0.0499	0.231468	0.3378452
45	深纺织A	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.032971716	0.080029918	1	0	0.02842184	13.4193	0.2887	0.008201	-0.049	-0.137704	0.2939593
45	深纺织A	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.024640481	0.087443946	1	0	0.024663677	15.1215	0.4717	0.008059	-0.0086	0.69621	0.3984442
45	深纺织A	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.031845466	0.123447772	1	0	0.026296567	17.3364	0.4439	0.007254	0.0206	-0.022806	0.3869414
45	深纺织A	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.045126479	0.088902514	1	0	0.025137952	19.0028	0.4352	0.008728	0.0327	0.087618	0.3788233
45	深纺织A	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.028372265	0.116825397	1	0	0.027936508	19.9763	0.5072	0.007867	0.0394	0.237271	0.4006734
45	深纺织A	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	电子元件及电子专用材料制造	0.033981809	0.125706215	1	0	0.029661017	21.9974	0.5467	0.007003	0.0413	0.085162	0.4059568
50	深天马A	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.075429397	0.130947343	1	0	0.042439998	12.6778	0.546	0.034368	0.0576	0.305096	0.587509
50	深天马A	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.06234973	0.130698788	1	0	0.035766297	10.3713	0.6447	0.035186	0.034	1.063268	0.6023768
50	深天马A	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.061320556	0.162090257	1	0	0.046910296	11.6992	0.4826	0.031642	0.0274	0.047401	0.4960737
50	深天马A	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.07066581	0.190267848	1	0	0.056317362	11.7171	0.4206	0.029447	0.0504	-0.034649	0.5279793
50	深天马A	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.064975309	0.233011158	1	0	0.071873717	16.2268	0.4134	0.021159	0.0485	0.088821	0.5716333
50	深天马A	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.094864194	0.248778217	1	0	0.073578466	19.4042	0.3896	0.027949	0.0034	-0.011993	0.6400572
50	深天马A	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.103652386	0.256768953	1	0	0.142189038	20.3739	0.3961	0.029295	-0.0654	0.026197	0.7359284
63	中兴通讯	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.119121146	0.38706485	1	0	0.311863908	36.2069	0.762	0.032937	0.0495	0.074897	1.570897
63	中兴通讯	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.127531263	0.380553927	1	0	0.643434936	39.6423	0.6258	0.066165	-0.0813	-0.214144	1.896542
63	中兴通讯	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.138289318	0.403919162	1	0	0.337039363	35.0518	0.6707	0.054665	0.0637	0.061083	1.594295
63	中兴通讯	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.145854138	0.430707241	1	0	0.355261908	39.8065	0.6953	0.062185	0.0465	0.118079	1.710499
63	中兴通讯	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.16419604	0.460459605	1	0	0.371900143	46.8773	0.7171	0.047964	0.0614	0.128841	1.759573
63	中兴通讯	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.175693565	0.485222761	1	0	0.784670704	52.6322	0.7032	0.040573	0.0634	0.073635	2.032265
63	中兴通讯	2023	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	通信系统设备制造	0.215558235	0.49093532	1	0	0.81766607	62.2445	0.6507	0.038304	0.0744	0.010544	2.110613
66	中国长城	2017	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.063301155	0.273844819	1	0	0.065948369	12.7864	0.3392	0.026499	0.0732	-0.862475	0.5707788
66	中国长城	2018	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.074876017	0.258341759	1	0	0.064350715	14.2941	0.6416	0.029542	0.1055	0.052872	0.6751882
66	中国长城	2019	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.089153003	0.312430919	1	0	0.071549628	15.8011	0.5757	0.021077	0.1075	0.083351	0.7058136
66	中国长城	2020	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.077285405	0.310253082	1	0	0.078325762	16.122	0.5872	0.018783	0.0675	0.3322	0.7359451
66	中国长城	2021	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.07775538	0.313398266	1	0	0.078928614	18.1424	0.5906	0.020211	0.0384	0.231505	0.7045201
66	中国长城	2022	广东省	东部地区	深圳市	计算机、通信和其他电子设备制造业	广播电视节目制作及发射设备制造	0.107027132	0.308582207	1	0	0.089091481	20.6706	0.4214	0.022574	0.0161	-0.211524	0.6956778
